city,year,people,air_general_level,net_salary,avg_age,ilm,birth,crimes,criminals,death,pens,preschool_child,length_of_roads,energy_consumption,migration_net,housing_stock,wage,workers,poverty_level,housing_price
Анадырь,2015,14326.0,1.0,82868.0,34.51,16425.0,12.6,253.0,155.0,5.1,3.4,1.011,530.9,278.1,465.0,29.0,96357.9,9.4,8.5,193817.0
Анадырь,2016,14380.0,1.0,87311.0,34.7,18142.0,12.2,231.0,118.0,4.7,3.5,1.065,252.9,331.9,454.0,29.2,101524.5,9.4,8.5,193817.0
Анадырь,2017,15271.0,1.0,92073.0,34.85,20157.0,11.7,205.0,127.0,6.6,3.5,1.1,386.5,354.1,57.0,26.7,107061.8,9.4,8.5,193817.0
Анадырь,2018,15604.0,1.0,97708.0,35.06,21987.0,11.3,205.0,127.0,6.6,3.6,1.1,269.6,401.5,171.0,26.7,113613.9,9.9,8.5,193817.0
Анадырь,2019,15893.0,1.0,106552.0,35.14,22894.0,8.9,205.0,127.0,4.7,3.6,1.1,155.6,393.7,-97.0,26.3,123898.0,9.7,8.2,193817.0
Анадырь,2020,15900.0,1.0,117776.0,35.58,23163.0,8.9,205.0,127.0,4.7,3.6,1.1,537.7,481.6,-620.0,27.14,123898.0,9.7,7.7,193817.0
Анадырь,2021,15800.0,1.0,129000.0,35.8,23163.0,8.9,205.0,127.0,4.7,3.6,1.1,496.1,158.8,-210.0,26.9,123898.0,9.7,7.0,193817.0
Анадырь,2022,15800.0,1.0,126900.0,36.18,23163.0,8.9,205.0,127.0,4.7,3.6,1.1,348.7,179.6,-98.0,26.94,123898.0,9.7,5.2,193817.0
Ангарск,2015,226374.0,2.0,33416.0,37.24,10776.0,14.3,5234.0,1947.0,13.9,76.3,15.4,559.5,174.1,-170.0,23.8,38856.3,59.7,17.6,43474.8
Ангарск,2016,226052.0,3.0,35153.0,37.32,10776.0,13.6,4136.0,1723.0,13.3,76.8,15.6,192.7,195.0,-170.0,25.1,40875.5,56.7,17.6,45380.5
Ангарск,2017,226374.0,3.0,37047.0,37.42,10776.0,11.7,4203.0,1979.0,13.6,76.8,16003.0,509.1,196.7,-170.0,25.5,43077.5,55.4,17.6,46833.41
Ангарск,2018,226374.0,4.0,40634.0,37.56,10776.0,10.8,4203.0,1979.0,13.2,77.2,16156.0,281.0,193.4,248.0,26.0,47248.3,53.9,17.6,65095.98
